name,population,total_area,city_gdp_per_population,percentage_urban_area_as_open_public_spaces,percentage_urban_area_as_open_public_spaces_and_streets,percentage_urban_area_as_streets,share_of_population_within_400m_of_open_space,closed_forest,cultivated,herbaceous_vegetation,herbaceous_wetland,open_forest,permanent_water,shrubs,urban,city_mean_elevation,city_elevation_delta,region_100km_mean_elevation,region_100km_elevation_delta,region_50km_mean_elevation,region_50km_elevation_delta,region_20km_mean_elevation,region_20km_elevation_delta,region_100km_urban,region_100km_cultivated,region_50km_urban,region_50km_cultivated,region_20km_urban,region_20km_cultivated,mean_population_exposure_to_pm2_5_2019,city_average_pop_density,city_delta_pop_density,city_max_pop_density,region_100km_average_pop_density,region_50km_average_pop_density,region_20km_average_pop_density,city_includes_estuary,region_100km_includes_estuary,region_50km_includes_estuary,region_20km_includes_estuary,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,biome_name,realm,number_of_biomes,happiness_future_life,happiness_positive_effect,happiness_negative_effect,temperature_annual_average,temperature_monthly_min,temperature_monthly_max,rainfall_annual_average,rainfall_monthly_min,rainfall_monthly_max,merlin_pool_size,birdlife_pool_size,either_pool_size,both_pool_size
Beijing,17992304,212624.293210342,,,,,,0.00120043663230153,0.166085551383782,0.0261364263971194,0.00760726038164741,0.0248102260230386,0.00328111114275092,0.029375955677439,0.741477881779851,60.044933805838,168,0.0,1524,0.0,1524,0.0,914,0.131881418634089,0.392464831843075,0.17438869082546,0.411412679769237,0.250571750959845,0.388359465117069,68.2,527.681194827583,7150.3251953125,7150.3251953125,33.665645621147,33.9268074939592,45.0716097087053,false,false,false,false,4330,4630,4940,5280,5650,6030,6450,6890,7360,8490,9780,10720,11110,11740,12840,Temperate Broadleaf & Mixed Forests,Palearctic,1,6.349,0.841,0.164,12.0639455415891,-9.43009533081005,31.0827154995961,613.812587402813,3.07432137889014,218.584884052972,341,243,388,196
Beirut,2463343,26540.5212463818,,,,,,0.0732582745912013,0.0100302044371391,0.0298409319622893,5.17842570375567e-05,0.0598286875239439,0.0111753472819814,0.0278011399238041,0.610203042010334,0.0,1303,0.0,2664,0.0,2664,0.0,1940,0.0417651382250152,0.149315223351239,0.050756681685619,0.0734280692059018,0.0761523596121764,0.0143745509916563,30.5,680.069375666611,5025.21826171875,5025.21826171875,25.711964891927,25.2154843322583,26.2288801550691,true,true,true,true,320,420,560,730,920,1500,1620,1580,1290,1270,1490,1780,1850,1940,2050,"Mediterranean Forests, Woodlands & Scrub",Palearctic,1,4.76,0.546,0.317,19.736978810061,9.22637136937099,31.3094159833196,892.490756957667,0.648345690329238,205.17269808199,194,174,252,116
Belo Horizonte,4040689,59266.8421944635,,5.3,21.85,16.55,41.55,0.0327045460381789,0.0186969331226027,0.0984742069004156,0.00162506916057159,0.0617651762223034,0.00268996687296166,0.0124104414370458,0.771514599008757,935.953445713731,259,0.0,961,0.0,632,0.0,457,0.0171467746714412,0.0427474173022311,0.0324513512013503,0.0531521513035956,0.0690229465248708,0.0581007634797557,12.9,425.346445856252,2904.26684570313,2904.26684570313,4.83170959380725,8.58915137679864,18.2990338654366,false,false,false,false,410,570,780,1080,1480,1910,2440,2950,3550,4090,4660,5300,5580,5940,6360,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,2,,,,20.845458998828,10.3562113181263,28.8273316956702,1405.18987163156,10.4808189184222,305.360068585674,312,490,517,285
Bengaluru,10642640,64455.2724739798,,1.58,20.12,18.54,34.59,0.00351498579026838,0.215625293028347,0.00786697724765817,0.00415430988758834,0.0460855101311228,0.00180017021362923,0.0490705018351247,0.671054525129967,776.496833423209,122,0.0,640,0.0,305,0.0,168,0.0232623107582124,0.592434839858041,0.0392469880855363,0.611318833015672,0.0772787358517459,0.635880720097097,40.3,1030.91676994049,3828.28735351563,3828.28735351563,21.0173150560604,27.6633600065976,34.558746985712,false,false,false,false,750,940,1170,1380,1620,2110,2810,3400,4040,4740,5570,6460,6790,7230,7970,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,2,,,,23.8719427044617,14.6306222073592,34.1048482528115,788.808507703582,1.19588197411997,163.564893544282,331,294,375,250
Berlin,3271465,68447.1113455539,0.070762793,8.06,30.26,22.2,68.19,0.0820460363711363,0.0534777345030616,0.0105895730179769,0.0080176371242548,0.134204307504963,0.0126690425436765,0.0,0.698995668934931,45.3611976995529,43,0.0,143,0.0,116,0.0,85,0.042249071824256,0.452619544893542,0.0564992140358091,0.392295948195101,0.112760462547706,0.3442014993127,15.7,298.39610449884,482.787170410156,482.787170410156,4.68949077987838,7.37438086751524,18.0947728989568,false,false,false,false,3350,3300,3260,3230,3210,3130,3060,3060,3420,3470,3380,3390,3410,3420,3430,Temperate Broadleaf & Mixed Forests,Palearctic,1,,,,9.03416672961768,-3.37561356120289,23.7990565361191,565.544036358006,33.0025619265932,68.8718095483787,185,186,214,157
Birmingham,2426845,66650.6755452162,,,,,,0.0152188413615634,0.0435274192130498,0.0434157009476419,0.00121981212327565,0.144237695590949,0.00149704215129284,2.63096732471218e-06,0.750847590041541,129.406820103707,93,0.0,559,0.0,339,0.0,125,0.0780548449382355,0.483162841270344,0.0967818989545976,0.575371843585525,0.134237916527048,0.549288463438866,10.2,226.56732832514,1511.85668945313,1511.85668945313,21.5704944110364,21.7414220979865,29.3121957551181,false,true,false,false,2230,2280,2340,2360,2370,2360,2360,2330,2300,2290,2280,2280,2280,2290,2300,Temperate Broadleaf & Mixed Forests,Palearctic,1,,,,9.10009341290219,0.252604976612116,20.1657055243022,710.37382785922,48.4890226709488,69.8150877218432,201,148,214,135
Bogota,8608349,53679.5391698351,,6.31,29.32,23.01,87.5,0.0114497496444309,0.065634553782189,0.219106974266881,0.0041905133728242,0.0222153323625582,0.000443126424910308,0.0156309226073182,0.661144191528509,2615.69040730786,1036,0.0,3292,0.0,2911,0.0,1067,0.00676882242827398,0.0615698859009778,0.0102509073150995,0.0746215314453115,0.0248379809591495,0.202546464905479,30,999.36662801322,2535.64770507813,2535.64770507813,5.12929344573044,7.31052735856558,14.2761501145965,false,false,false,false,630,890,1270,1780,2380,3040,3520,4090,4740,5490,6360,7350,7770,8320,8920,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,2,8.155,0.831,0.303,13.3393744402595,6.91836177051942,19.3228521599255,808.760025607229,29.0903229546264,117.427627859466,555,453,629,379
Boston,2071403,95286.7084388082,0.193537424,,,,,0.103501448497174,0.00688769288857941,0.00969980306603683,0.0184174678314982,0.1981620616911,0.035050396643632,9.14033819878613e-05,0.523510114792343,10.401622426608,59,0.0,490,0.0,231,0.0,77,0.037100353125486,0.0103783587769721,0.069496589289481,0.0104817001709324,0.0988954758169514,0.00844181958426591,5.8,150.832445683175,2818.80834960938,2818.80834960938,13.2418534613719,22.6582006156089,28.4852359598197,true,true,true,true,2550,2680,2820,3000,3190,3230,3280,3350,3430,3730,4050,4360,4470,4600,4770,Temperate Broadleaf & Mixed Forests,Nearctic,1,7.861,0.828,0.261,9.57931870103556,-8.11468676320757,28.0214250980193,1135.6248402618,81.7381599837763,115.135398994838,328,242,331,239
Buenos Aires,13946188,198655.021179434,,1.83,23.45,21.61,49.55,0.00385743109357879,0.0195478287316804,0.130104418737747,0.0130799458572766,0.018707115798902,0.0033454957306305,0.0105997174011221,0.782994886658318,12.0417794984398,30,0.0,76,0.0,30,0.0,30,0.0128893217017104,0.272240514686093,0.0289489045207097,0.143744689892703,0.0512233387864648,0.0991323639982129,11.3,442.06444241306,1883.91357421875,1883.91357421875,4.04135109527436,10.3868165472839,18.9445530888708,true,true,true,true,5100,5800,6600,7320,8100,8740,9420,9960,10510,11150,11850,12550,12800,13090,13430,"Temperate Grasslands, Savannas & Shrublands",Neotropic,1,7.47,0.84,0.312,16.4266311578025,5.5300844179111,29.8508315622693,1020.88807642772,58.928906264373,118.881035261391,280,294,339,235
Cairo,20062493,165429.774048309,,,,,,0.00062771071595408,0.342631378768696,0.0047096550071152,0.0077569235691255,0.0169590840107374,0.0157306955571141,0.0138283781435359,0.50732476793003,102.813900967848,299,0.0,610,0.0,610,0.0,570,0.0471483310204309,0.349050864706856,0.06982006960204,0.357427292404792,0.10911395715484,0.319581028460771,81.3,755.949325318306,6633.73828125,6633.73828125,40.0744272695337,49.8304920112839,59.4220532788075,false,true,false,false,2490,3030,3680,4740,5580,6450,7350,8330,9060,9710,10530,11490,11890,12500,13460,Flooded Grasslands & Savannas,Palearctic,2,5.641,0.557,0.382,21.3696524351454,7.26005594613866,34.9890943999191,20.1368455603589,0.0,5.00076957051064,149,250,274,125
