explanatory,richness_merlin_estimate,richness_merlin_error,richness_merlin_p,model,richness_birdlife_estimate,richness_birdlife_error,richness_birdlife_p,richness_both_estimate,richness_both_error,richness_both_p,richness_either_estimate,richness_either_error,richness_either_p
realmNearctic,-5.049763719246662,1.3501476653319646,1.843e-4,full,-1.7180663459631498,0.9246979907625718,0.0632104,-5.231932408163809,1.3568064732978606,1.155e-4,-2.2782280221899254,0.8040984665355486,0.0046133
realmNeotropic,-1.9043468936286094,1.380154126772832,0.1677069,full,-4.00023093551364,1.0151935477840077,8.16e-5,-3.8314375851918245,1.4269782754930587,0.0072613,-2.5232081371777464,0.8704815027762605,0.0037529
shrubs,6.614738395616941,1.5397092332871487,1.74e-5,full,9.30890399894231,1.7033872165816044,0,10.139056780209932,1.9208610106959207,1e-7,6.367928196144515,1.3677473648079317,3.2e-6
urban,-0.018267930711663227,0.1944390005582283,0.925157,full,0.04835811538938051,0.2312253411945172,0.8343606,0.01780580790360495,0.25103537118315933,0.9434616,0.006620342113262671,0.16406418613138976,0.9678167
closed_forest,3.133841076505796,0.7500236228370281,2.94e-5,subset,3.6855651823323345,0.8486707454734693,1.41e-5,4.2535756387857,0.9430901859108082,6.5e-6,2.7309563498161267,0.67767633319759,5.59e-5
cultivated,11.716842574065488,1.038845699508044,0,subset,11.842293325483997,1.1502954460912775,0,14.077360050046833,1.2955392804102757,0,10.29636023260594,0.9231633074945185,0
elevation_delta_scaled,0.8927001365636729,0.9124423659472631,0.3279641,subset,0.3384586787068369,0.9831368367490693,0.7306849,0.9533584281425379,1.1226861345387666,0.3958511,0.4391703328445368,0.7936654292383678,0.580082
herbaceous_vegetation,8.653100822382802,1.1548773059983102,0,subset,10.231105674712113,1.3020349124995625,0,11.050650877244417,1.4505723428857837,0,7.80747094894882,1.042191666109087,0
herbaceous_wetland,10.78839149261351,3.3307731153965534,0.0012014,subset,9.829169554448445,3.7695721694359556,0.0091305,14.361254052884119,4.187439306668348,6.056e-4,8.485270463589034,3.018460377973183,0.004943
mean_elevation_scaled,-4.7444451729094705,1.81372097084779,0.0089095,subset,-3.7129291928489203,1.510540959132835,0.0139845,-5.575577810865036,2.0206831669615273,0.0058001,-3.4784131051424723,1.2717399851650106,0.0062423
open_forest,12.5527319666657,1.0507103625734018,0,subset,15.766309431636385,1.1758563421255976,0,16.997522010412812,1.3127619441940173,0,11.761611111723672,0.9464318876478526,0
permanent_water,1.0350970091402456,0.7161788831054091,0.1484305,subset,0.4242909198802774,0.8241190383439511,0.6067146,0.7233452830073187,0.9093304331235219,0.4264062,0.791294107624148,0.6517836211378112,0.2247972
realmAfrotropic,3.419209197641771,1.8567560058590715,0.0655875,subset,-1.5147505753972785,1.415804622363592,0.2847395,1.7644128863715922,1.9430427518520743,0.3639116,0.041937923486922477,1.2035446037971427,0.9722071
realmAustralasia,-2.869637516981987,3.00937210665842,0.3403723,subset,-3.0528615943667434,2.0815107911400506,0.1425268,-0.6610560100298134,3.0432204206830233,0.8280592,-1.4549914755466795,1.809403514120114,0.4213899
realmIndomalayan,-1.397730125840843,1.1703958328850623,0.2324523,subset,-4.229932145840086,0.8527583045918928,7e-7,-3.1328642634953616,1.204202993307284,0.0092889,-2.7693177390401384,0.7322511779847498,1.56e-4
realmNearctic,-5.049763719246662,1.3501476653319646,1.843e-4,subset,-1.7180663459631498,0.9246979907625718,0.0632104,-5.231932408163809,1.3568064732978606,1.155e-4,-2.2782280221899254,0.8040984665355486,0.0046133
realmNeotropic,-1.9043468936286094,1.380154126772832,0.1677069,subset,-4.00023093551364,1.0151935477840077,8.16e-5,-3.8314375851918245,1.4269782754930587,0.0072613,-2.5232081371777464,0.8704815027762605,0.0037529
shrubs,6.614738395616941,1.5397092332871487,1.74e-5,subset,9.30890399894231,1.7033872165816044,0,10.139056780209932,1.9208610106959207,1e-7,6.367928196144515,1.3677473648079317,3.2e-6
urban,-0.06989984034112585,0.37556976141123044,0.8523726,subset,0.16830446357722978,0.407297669901356,0.6794864,0.06001725122680767,0.45812785488853064,0.8957854,0.02802842792467136,0.3366871611741285,0.9336635
