niche_name,foraging_niche,trophic_niche,is_noctural,total_species,merlin_10_perc_ratio,merlin_20_perc_ratio,birdlife_10_perc_ratio,birdlife_20_perc_ratio,either_10_perc_ratio,either_20_perc_ratio,both_10_perc_ratio,both_20_perc_ratio,pc1,pc2,pc3,pc4
1 || Granivore || Granivore arboreal || Diurnal,Granivore arboreal,Granivore,FALSE,115,0.061,0.174,0.104,0.226,0.087,0.2,0.07,0.183,-1.223074443038011,-0.24852801469680635,-0.3777426524864987,0.5786028123222121
1 || Granivore || Generalist || Diurnal,Generalist,Granivore,FALSE,57,0.123,0.211,0.123,0.211,0.14,0.246,0.123,0.211,-1.550653986966048,-0.09958425547285836,-0.4511697450580505,0.4974418652389781
1 || Granivore || Granivore ground || Diurnal,Granivore ground,Granivore,FALSE,287,0.143,0.23,0.167,0.268,0.143,0.237,0.146,0.247,-0.7733992933748913,0.23669363788472692,-0.15927223401604362,0.26429187678804655
24 || Scavenger || Scavenger ground || Diurnal,Scavenger ground,Scavenger,FALSE,5,0,0,0,0,0,0,0,0,6.0979636606300165,0.29130307711024317,0.06276928507226583,0.09451080337584357
34 || Scavenger || Scavenger ground || Diurnal,Scavenger ground,Scavenger,FALSE,8,0,0,0,0,0,0,0,0,6.901380675982329,0.2416800637869306,-0.05000966513910096,-0.07648479256213465
2 || Scavenger || Scavenger ground || Diurnal,Scavenger ground,Scavenger,FALSE,9,0.111,0.333,0.111,0.333,0.222,0.333,0,0.333,5.107088377541802,0.33756936663432735,-0.14104703172700714,-0.33957725377969117
5 || Vertivore || Vertivore perch || Nocturnal,Vertivore perch,Vertivore,TRUE,2,0,0,0,0,0,0,0,0,1.76921251156929,0.285283413190265,-0.15178054396016918,0.5678305292669965
2 || Vertivore || Vertivore air to surface || Nocturnal,Vertivore air to surface,Vertivore,TRUE,5,0,0,0,0,0,0,0,0,2.90049495315461,0.414721174416379,-0.2188773431513165,0.0038304529474670196
4 || Vertivore || Vertivore aerial || Diurnal,Vertivore aerial,Vertivore,FALSE,1,0,0,0,0,0,0,0,0,2.48302388870189,0.541431178133146,-0.550497655618552,0.140862122053991
2 || Vertivore || Vertivore ground || Diurnal,Vertivore ground,Vertivore,FALSE,1,0,0,0,0,0,0,0,0,6.21437664454428,0.804596908169901,-0.349773721842563,-0.659834512171311
14 || Vertivore || Vertivore perch || Diurnal,Vertivore perch,Vertivore,FALSE,1,0,0,0,0,0,0,0,0,-1.14941443579813,-1.4306133844367,0.307022385534325,0.575447468354515
2 || Vertivore || Vertivore arboreal || Diurnal,Vertivore arboreal,Vertivore,FALSE,1,0,1,0,0,0,0,0,0,3.88813764761261,0.637353719407054,-0.638777427755243,-0.608699907287066
4 || Vertivore || Vertivore arboreal || Diurnal,Vertivore arboreal,Vertivore,FALSE,2,0,0,0,0,0,0,0,0,2.37609285175063,0.12992747411121952,-0.654430533990885,-0.51150217280079
34 || Vertivore || Vertivore perch || Diurnal,Vertivore perch,Vertivore,FALSE,1,0,0,0,0,0,0,0,0,6.5829812858932,0.0730319335131118,-0.3686337705394,-0.21700499082511
1 || Vertivore || Vertivore aerial || Diurnal,Vertivore aerial,Vertivore,FALSE,3,0,0,0,0,0,0,0,0,0.9247082443704964,0.46350087357253167,-0.46845685927628633,0.207872966515515
4 || Vertivore || Vertivore perch || Nocturnal,Vertivore perch,Vertivore,TRUE,4,0,0,0,0,0,0,0,0,2.585195910798075,0.4014512676510925,-0.4589875278578397,0.0195644985401672
4 || Vertivore || Vertivore air to surface || Nocturnal,Vertivore air to surface,Vertivore,TRUE,3,0,0,0,0,0,0,0,0,2.477028865368487,0.5593609811340756,-0.36301287644619334,0.01884070949298537
9 || Vertivore || Vertivore perch || Diurnal,Vertivore perch,Vertivore,FALSE,1,0,0,0,0,0,0,0,0,2.08851744319728,0.810610536877491,-0.174527027301029,0.351074933168365
2 || Vertivore || Vertivore aerial || Diurnal,Vertivore aerial,Vertivore,FALSE,5,0,0,0,0,0,0,0,0,3.3797188849075956,0.4848297691824476,-0.2759583205917918,0.03883028798988881
2 || Vertivore || Generalist || Diurnal,Generalist,Vertivore,FALSE,20,0,0.05,0,0,0,0,0,0.05,4.334537665093126,0.5333387460163814,-0.39017357810886083,-0.13869623289688077
5 || Vertivore || Vertivore air to surface || Diurnal,Vertivore air to surface,Vertivore,FALSE,3,0,0,0,0,0,0,0,0,1.87174479841531,0.496543686272188,-0.5991841413674607,0.031129728115673334
4 || Vertivore || Vertivore air to surface || Diurnal,Vertivore air to surface,Vertivore,FALSE,8,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,2.638835111815561,0.5590946457121683,-0.4674867743663562,-0.22870610042030254
4 || Vertivore || Generalist || Diurnal,Generalist,Vertivore,FALSE,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,2.6793186237557602,0.842959452923032,-0.419008576274725,0.011795023294785545
1 || Vertivore || Vertivore ground || Diurnal,Vertivore ground,Vertivore,FALSE,1,0,0,0,1,0,1,0,0,1.88337207893787,0.228315490568982,-0.535404824335903,-0.355367099888688
4 || Vertivore || Vertivore ground || Diurnal,Vertivore ground,Vertivore,FALSE,1,1,1,1,1,1,1,0,1,3.01825264333236,-0.284307468075721,-0.624288287280318,-0.566118828980334
5 || Vertivore || Vertivore ground || Nocturnal,Vertivore ground,Vertivore,TRUE,1,0,0,0,1,0,0,0,1,1.62042962674123,0.174303147390304,-0.168404704151952,0.315525284077782
5 || Vertivore || Generalist || Diurnal,Generalist,Vertivore,FALSE,6,0,0.167,0,0.333,0,0.333,0,0.167,1.6784652641792002,0.6966254422856615,-0.522623641212231,-0.05126746836975598
2 || Vertivore || Vertivore air to surface || Diurnal,Vertivore air to surface,Vertivore,FALSE,34,0,0.059,0,0.147,0,0.147,0,0.059,4.269825140689604,0.53939174428290515,-0.3801806113716525,-0.20929681114109916
2 || Vertivore || Vertivore perch || Diurnal,Vertivore perch,Vertivore,FALSE,58,0.034,0.052,0.017,0.069,0.017,0.052,0.017,0.069,4.004587618248892,0.5164647982283437,-0.34999698586135136,-0.11227271017854284
2 || Vertivore || Vertivore perch || Nocturnal,Vertivore perch,Vertivore,TRUE,35,0.086,0.171,0.029,0.086,0.029,0.114,0.057,0.171,3.835931136421298,0.40716108829479475,-0.271447685607241,0.040186735827007374
1 || Vertivore || Vertivore perch || Diurnal,Vertivore perch,Vertivore,FALSE,10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.607282050509366,0.14610002489380636,-0.23373236548867038,-0.012264450729396446
1 || Vertivore || Vertivore perch || Nocturnal,Vertivore perch,Vertivore,TRUE,10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8800176662450285,0.1779194146967789,-0.21820310428349,0.4617743493539154
4 || Vertivore || Vertivore perch || Diurnal,Vertivore perch,Vertivore,FALSE,16,0.125,0.188,0.125,0.188,0.125,0.188,0.125,0.188,2.5729670265323414,0.4173019212328799,-0.4822411274347037,-0.01601222787804074
5 || Vertivore || Vertivore aerial || Diurnal,Vertivore aerial,Vertivore,FALSE,7,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,1.7879378674178643,0.4506572033720875,-0.338069188056555,0.30824311456146025
5 || Vertivore || Vertivore perch || Diurnal,Vertivore perch,Vertivore,FALSE,7,0,0.143,0,0.143,0,0.143,0,0.143,1.8097915739690542,0.5784894840078311,-0.47002242606170624,0.020054078176527074
40 || Invertivore || Invertivore sally air || Diurnal,Invertivore sally air,Invertivore,FALSE,2,0,0,0,0,0,0,0,0,0.531166249352514,-1.065412189236508,-0.586122423305113,-0.7622065392696885
42 || Invertivore || Invertivore sally air || Diurnal,Invertivore sally air,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,-0.490853095091639,-0.458494414165341,-1.27451776938241,-0.782554953603513
46 || Invertivore || Invertivore bark || Diurnal,Invertivore bark,Invertivore,FALSE,4,0,0,0,0,0,0,0,0,0.34174039492559855,-1.401521172477735,0.4738774554615047,-0.9597232593549703
1 || Invertivore || Invertivore sally air || Nocturnal,Invertivore sally air,Invertivore,TRUE,14,0,0,0,0,0,0,0,0,0.0630374994737534,0.5949706159915451,-0.2950672402110125,-0.4964448354913806
58 || Invertivore || Invertivore glean arboreal || Diurnal,Invertivore glean arboreal,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,-0.210575891686253,-1.68400927282182,0.579948567797315,-0.418039112062518
4 || Invertivore || Invertivore sally air || Nocturnal,Invertivore sally air,Invertivore,TRUE,1,0,0,0,0,0,0,0,0,2.40435083093652,0.729784673711998,-0.55239464767337,-0.867790903432394
5 || Invertivore || Invertivore sally air || Nocturnal,Invertivore sally air,Invertivore,TRUE,1,0,0,0,0,0,0,0,0,1.53014302910503,0.287861413763399,-0.217856478911775,0.55771771136246
5 || Invertivore || Generalist || Diurnal,Generalist,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,1.55160996338683,0.347111917401969,-0.547711230562865,0.123115119206248
1 || Invertivore || Invertivore sally surface || Nocturnal,Invertivore sally surface,Invertivore,TRUE,6,0,0,0,0,0,0,0,0,0.6395752745138197,0.04286054753585532,-0.5224699259172555,0.3646964062600235
4 || Invertivore || Invertivore sally ground || Nocturnal,Invertivore sally ground,Invertivore,TRUE,1,0,0,0,0,0,0,0,0,2.69233612272483,0.423293716226365,-0.404497619375516,0.0208352475415008
71 || Invertivore || Invertivore sally surface || Diurnal,Invertivore sally surface,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,2.13148074784678,-2.02545213973998,-0.514027860475702,-0.182163686496521
16 || Invertivore || Invertivore glean arboreal || Diurnal,Invertivore glean arboreal,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,2.15515574391343,-1.52277359561277,-0.571048353539799,-0.0917298394915869
2 || Invertivore || Invertivore bark || Diurnal,Invertivore bark,Invertivore,FALSE,5,0,0,0,0,0,0,0,0,3.732797448787892,0.5003781412741238,-0.5193989206483881,-0.3289849799080712
61 || Invertivore || Invertivore glean arboreal || Diurnal,Invertivore glean arboreal,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,-3.53822918181726,0.642493465926308,-0.454347074542563,0.278321159761817
5 || Invertivore || Invertivore sally surface || Diurnal,Invertivore sally surface,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,1.53266700243022,0.46702710756484,-0.525453709292317,0.0820603831563504
4 || Invertivore || Generalist || Diurnal,Generalist,Invertivore,FALSE,4,0,0,0,0,0,0,0,0.25,2.37529161529485,0.361773887339525,-0.578849561284217,-0.06753350020245773
80 || Invertivore || Invertivore sally air || Nocturnal,Invertivore sally air,Invertivore,TRUE,2,0,0,0,0,0,0,0,0,0.06919748660677949,0.9587223815806101,-0.969753877581026,-1.42467366436188
30 || Invertivore || Invertivore aerial || Diurnal,Invertivore aerial,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,-3.30093739271777,1.01146388348047,-0.223788467401953,0.156168298016102
8 || Invertivore || Generalist || Nocturnal,Generalist,Invertivore,TRUE,1,0,0,0,0,0,0,0,0,2.79094648783016,-0.801236143131666,-1.35242094838172,0.343398377131638
52 || Invertivore || Invertivore ground || Diurnal,Invertivore ground,Invertivore,FALSE,2,0,0,0,0,0,0,0,0,-1.91906702999092,0.4698770832554055,1.091041590541005,0.6103068762650145
41 || Invertivore || Invertivore sally air || Diurnal,Invertivore sally air,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,-0.490853095091639,-0.458494414165341,-1.27451776938241,-0.782554953603513
5 || Invertivore || Invertivore glean arboreal || Diurnal,Invertivore glean arboreal,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,1.82213822137784,0.252449677554667,-0.288252819357076,-0.0767958538847336
85 || Invertivore || Invertivore bark || Diurnal,Invertivore bark,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,0.419984894411087,-1.37142940214902,-0.608135023335367,-1.27012813755843
2 || Invertivore || Invertivore sally air || Nocturnal,Invertivore sally air,Invertivore,TRUE,1,0,0,0,0,0,0,0,0,2.88440957405672,0.467606917516453,-0.241830773061328,-0.790759944666117
