"LOCALITY_ID","SAMPLE_ID"
"L2688240","0"
"L924269","0"
"L920889","0"
"L1785642","0"
"L10638154","0"
"L1664793","0"
"L3696646","0"
"L932313","0"
"L1001126","0"
"L933341","0"
"L1552210","0"
"L6332782","0"
"L4016779","0"
"L10229931","0"
"L1066529","0"
"L1551313","0"
"L5052057","0"
"L5594928","0"
"L8199669","0"
"L932152","0"
"L933990","0"
"L4756197","0"
"L3119317","0"
"L6533216","0"
"L954003","0"
"L2074115","0"
"L933337","0"
"L2858975","0"
"L10687034","0"
"L8833653","0"
"L5180143","0"
"L11172564","0"
"L953998","0"
"L5640862","0"
"L6577786","0"
"L3061272","0"
"L2036578","0"
"L6064139","0"
"L383782","0"
"L1853224","0"
"L2934117","0"
"L3709694","0"
"L113934","0"
"L7568379","0"
"L3968459","0"
"L2175010","0"
"L1766584","0"
"L126348","0"
"L11346473","0"
"L3559430","0"
"L454170","0"
"L8415843","0"
"L105600","0"
"L339244","0"
"L9831734","0"
"L1168234","0"
"L732293","0"
"L224192","0"
"L633350","0"
"L7959717","0"
"L810015","0"
"L5371886","0"
"L1810383","0"
"L3397380","0"
"L210287","0"
"L152692","0"
"L164437","0"
"L4015778","0"
"L336023","0"
"L746253","0"
"L152658","0"
"L3127307","0"
"L152646","0"
"L2266401","0"
"L339158","0"
"L2235142","0"
"L990564","0"
"L6688208","0"
"L812840","0"
"L985409","0"
"L1546035","0"
"L1862763","0"
"L152637","0"
"L3055433","0"
"L108494","0"
"L4698737","0"
"L126347","0"
"L2638508","0"
"L11214057","0"
"L108497","0"
"L7930710","0"
"L7216123","0"
"L4097329","0"
"L1359810","0"
"L152673","0"
"L3221205","0"
"L143490","0"
"L3891598","0"
"L258451","0"
"L1401491","0"
"L152687","0"
"L83533","0"
"L152715","0"
"L1055480","0"
"L2187841","0"
"L633340","0"
"L108702","0"
"L1859227","0"
"L1257668","0"
"L348640","0"
"L163938","0"
"L2155713","0"
"L108479","0"
"L113937","0"
"L339149","0"
"L990111","0"
"L124893","0"
"L207016","0"
