locality_id,percentage_of_regional_pool_present,number_of_checklists
L3810345,8.7345971563981042,106
L4383177,8.7298578199052148,64
L2972636,10.4739336492891,100
L7444444,11.753554502369669,25
L3036593,13.535545023696683,114
L1440522,16.109004739336491,684
L1194295,18.611374407582939,170
L1912129,3.9052132701421796,22
L737557,16.815165876777254,978
L1050364,13.218009478672986,491
L351551,14.985781990521328,1168
L5085614,10.118483412322275,203
L7565643,12.497630331753552,34
L3153355,17.350710900473935,163
L6056544,16.625592417061608,26
L2175928,10.39336492890995,24
L3326336,22.981042654028432,77
L469060,19.412322274881515,368
L1451080,16.180094786729857,34
L7599051,12.350710900473933,17
L3739111,10.056872037914694,55
L1440811,7.109004739336493,40
L166210,25.502369668246441,732
L5819329,14.018957345971566,17
L4168667,9.3696682464454977,104
L3242088,9.28909952606635,277
L6283428,11.279620853080566,40
L3329312,11.639810426540285,20
L2773846,8.4739336492891013,42
L4177940,13.734597156398104,16
L1154375,10.985781990521328,115
L7486822,7.407582938388626,38
L2063939,11.66824644549763,60
L3239425,11.805687203791472,188
L1442377,12.706161137440759,32
L2359753,16.672985781990523,212
L3582428,9.4123222748815163,44
L9136690,15.4218009478673,60
L4119028,14.644549763033176,101
L3252399,18.663507109004737,16
L320095,11.492890995260664,585
L3615519,22.355450236966821,244
L2435923,14.151658767772512,702
L1450964,25.639810426540283,380
L896728,10.459715639810426,569
L2788549,21.834123222748815,88
L1440512,8.4644549763033172,104
L4713887,20.165876777251185,18
L11363345,28.715639810426541,431
L7382256,5.6682464454976307,194
L2307417,19.113744075829384,564
L9035492,21.748815165876778,211
L11363355,23.14691943127962,465
L474129,18.549763033175353,362
L4388795,3.3175355450236967,15
L354238,19.127962085308056,617
L1481359,14.156398104265403,27
L3890297,26.497630331753555,68
L1030640,11.800947867298577,20
L2775047,12.454976303317535,26
L3040358,14.810426540284361,74
L9693599,14.502369668246445,144
L9159164,14.919431279620854,38
L447776,17.521327014218013,220
L1926744,16.892156862745097,21
L5139201,12.102941176470589,47
L1926747,8.735294117647058,68
L1935205,20.958174904942965,17
L4097935,32.030418250950568,27
L2666940,35.235741444866918,572
L2638829,18.300380228136881,91
L8013705,23.285171102661597,16
L4239986,12.288973384030415,79
L3231375,26.908745247148289,17
L5413202,8.2585551330798488,27
L3229231,27.182509505703418,43
L4018159,22.190114068441066,124
L7393538,21.167300380228138,40
L2596642,24.334600760456272,15
L2019117,7.6235741444866916,19
L5123362,28.095057034220531,42
L3599253,16.806083650190114,17
L3770708,35.026615969581741,46
L3892081,34.414448669201519,17
L3608903,29.212927756653993,85
L3202489,20.456273764258555,47
L2472492,24.365019011406844,51
L8710514,27.163498098859307,113
L7643790,13.617647058823529,17
L3813725,7.8088235294117645,21
L9828869,3.3725490196078431,16
L5432586,5.6288088642659284,264
L4060488,5.7063711911357338,172
L6659713,3.78393351800554,38
L3160004,22.54016620498615,89
L4156923,19.531855955678669,73
L3293086,14.091412742382271,27
L3614416,6.578947368421054,383
L3436013,20.700831024930753,61
L7497416,3.5789473684210531,18
L6868343,7.7728531855955678,459
L7505379,6.5484764542936276,231
L3996703,11.182825484764544,79
L4108526,10.257617728531857,36
L1935093,8.8864265927977844,42
L2609357,19.094182825484758,276
L3693295,20.102493074792246,294
L1944817,19.282548476454295,191
